,County,State,Population Density,Dem Rep Margin,Population Over 85,Nonwhite Population,Unemployment Rate (2019),Median Household Income (2019,COVID Cases Per 100K
674,Dimmit,Texas,7.9,-37.2,253,13,2.5,7177,2548.3998419597
675,Donley,Texas,3.9,70.6,83,9,3.5,945,2013.4228187919464
676,Duval,Texas,6.5,-35.2,262,2,4.5,5156,4060.2312449583214
677,Eastland,Texas,19.7,75.2,507,14,3.3,4773,1040.3050108932464
678,Ector,Texas,160.7,40.4,1727,151,2.6,431,1920.3118701984681
679,Edwards,Texas,1.0,41.3,62,0,2.3,7812,3467.9089026915112
680,El Paso,Texas,811.7,-43.1,13353,715,3.8,3948,3046.692356637808
681,Ellis,Texas,162.3,45.0,2290,185,3.1,6792,2424.983497992707
682,Erath,Texas,36.1,65.1,795,22,3.2,7087,2089.090823926179
683,Falls,Texas,22.6,33.5,396,84,3.3,7428,1769.0929062843265
684,Fannin,Texas,37.6,61.6,717,37,2.7,3111,1973.8694599312946
685,Fayette,Texas,25.8,59.0,914,60,2.6,5776,1952.9708829795627
686,Fisher,Texas,4.3,49.8,138,12,2.9,5261,1775.4569190600519
687,Floyd,Texas,6.3,53.0,153,9,4.3,9891,1960.7843137254904
688,Foard,Texas,1.6,52.6,46,1,3.1,7648,1558.4415584415585
689,Fort Bend,Texas,714.9,-6.6,7936,2383,3.5,2310,2045.4903854683082
690,Franklin,Texas,36.0,66.7,271,16,3.6,8222,1268.065268065268
691,Freestone,Texas,22.0,59.3,476,85,4.8,9317,2130.1415022569354
692,Frio,Texas,15.7,-13.4,271,9,2.6,1038,4845.858366985128
693,Gaines,Texas,12.3,71.6,228,13,2.4,6321,1763.4468639493766
694,Galveston,Texas,345.9,24.5,5289,883,4.0,1959,3445.3833091229003
695,Garza,Texas,7.1,67.0,87,4,2.7,6490,1685.6638304703806
696,Gillespie,Texas,23.7,61.7,1135,18,2.4,1433,1189.4175188972874
697,Glasscock,Texas,1.3,85.9,20,0,2.1,3330,638.7508871540099
698,Goliad,Texas,8.6,44.4,243,15,3.4,5008,2037.0854008879605
699,Gonzales,Texas,18.7,47.6,399,43,2.7,9829,5101.5021356241305
700,Gray,Texas,24.5,78.3,463,17,3.6,9121,1516.9514758292976
701,Grayson,Texas,124.6,52.8,2713,127,3.1,1403,1441.8700261357294
702,Gregg,Texas,445.1,40.9,2636,341,3.7,610,1848.4005002218728
703,Grimes,Texas,33.4,51.1,538,84,3.9,9498,3781.163434903047
704,Guadalupe,Texas,195.4,31.5,2514,212,2.9,3864,2183.437520602708
705,Hale,Texas,35.8,48.2,590,40,4.5,2782,5807.3399988026085
706,Hall,Texas,3.6,66.8,93,11,4.1,2597,1180.8367071524967
707,Hamilton,Texas,10.0,71.3,341,4,3.0,9210,1820.1158255525354
708,Hansford,Texas,6.0,80.1,131,5,2.3,7240,2685.682533802556
709,Hardeman,Texas,5.8,63.3,121,11,3.0,2469,635.6470887363338
710,Hardin,Texas,61.5,73.9,1057,59,4.6,909,2357.557029269817
711,Harris,Texas,2402.1,-12.3,52598,12660,3.8,241,3125.139895933339
712,Harrison,Texas,73.1,43.7,1280,304,4.0,131,1385.3620422820914
713,Hartley,Texas,4.2,79.8,131,3,1.6,2451,2528.694404591105
714,Haskell,Texas,6.5,61.5,185,10,3.3,880,1254.8603746907033
715,Hays,Texas,250.6,0.8,2178,125,2.8,8180,2585.2444274537233
716,Hemphill,Texas,4.4,75.6,83,4,2.7,6849,2173.3438072793924
717,Henderson,Texas,83.1,59.8,1907,111,3.5,3337,1215.9009874663088
718,Hidalgo,Texas,509.5,-40.4,12325,213,6.2,8785,3730.371690339781
719,Hill,Texas,35.5,58.3,908,50,3.3,8670,1937.2970613113596
720,Hockley,Texas,25.5,62.2,407,24,3.0,6764,1620.2597628252465
721,Hood,Texas,119.8,66.2,1692,38,3.4,917,1625.4887010690588
722,Hopkins,Texas,44.8,60.6,779,54,3.1,2079,1038.1835832164816
723,Houston,Texas,18.7,50.6,658,120,3.1,9533,1671.8913270637408
724,Howard,Texas,39.5,55.8,636,32,3.1,423,2501.0909884355224
725,Hudspeth,Texas,0.7,20.5,93,2,4.4,2671,1268.931641424478
726,Hunt,Texas,98.9,55.5,1645,130,3.5,3360,1729.314157048096
727,Hutchinson,Texas,24.5,75.9,453,31,4.4,4351,1112.8092463463558
728,Irion,Texas,1.5,74.4,38,1,2.4,6775,781.25
729,Jack,Texas,9.7,79.4,148,4,3.1,8780,1566.8718522663685
730,Jackson,Texas,16.7,63.4,374,26,3.0,4088,4159.891598915989
731,Jasper,Texas,36.9,59.8,731,86,6.1,7551,1359.4528413408764
732,Jeff Davis,Texas,1.0,22.9,86,2,2.9,1343,615.6552330694811
733,Jefferson,Texas,226.9,0.5,4971,1297,5.8,8121,3015.1253155248146
734,Jim Hogg,Texas,4.6,-56.9,66,2,4.8,6176,2134.6153846153848
735,Jim Wells,Texas,47.6,-10.3,729,36,4.7,1919,3762.1659008942243
736,Johnson,Texas,209.5,58.0,2261,100,3.2,2635,1802.4423121768652
737,Jones,Texas,21.4,65.2,421,24,4.3,3903,2828.262709754519
738,Karnes,Texas,19.8,43.4,313,5,2.5,8743,6050.89417345042
739,Kaufman,Texas,132.6,46.8,1438,124,3.3,7434,2351.748755086153
740,Kendall,Texas,54.4,59.9,1111,24,2.7,937,723.1557420252577
741,Kenedy,Texas,0.3,-8.1,11,1,3.6,2153,1732.6732673267327
742,Kent,Texas,1.0,69.4,34,1,2.3,7625,1181.1023622047244
743,Kerr,Texas,45.1,56.0,1885,54,3.0,3704,1152.0912547528515
744,Kimble,Texas,3.6,76.4,129,4,3.1,2503,391.97602029052337
745,King,Texas,0.3,90.6,8,0,2.1,7925,0.0
746,Kinney,Texas,2.6,33.4,120,9,3.6,3192,1281.7016634851375
747,Kleberg,Texas,29.5,-3.7,484,22,4.4,2605,3318.122555410691
748,Knox,Texas,4.4,60.8,93,6,3.3,9726,2811.1353711790393
749,La Salle,Texas,4.7,-12.5,115,4,2.4,72,4640.95744680851
750,Lamar,Texas,53.3,59.0,1211,137,3.4,5767,2509.0755931727467
751,Lamb,Texas,13.6,58.6,339,21,3.8,2700,2683.6267742185682
752,Lampasas,Texas,28.0,59.7,462,24,3.3,5151,1227.366063095016
753,Lavaca,Texas,20.0,71.3,735,36,3.0,1128,5011.412126624988
754,Lee,Texas,26.2,55.5,336,48,2.6,5834,1334.1841174082026
755,Leon,Texas,15.5,73.7,446,59,4.4,7065,1476.6720294185245
756,Liberty,Texas,65.2,57.8,1035,134,5.0,2577,2539.1355603668144
757,Limestone,Texas,25.2,51.9,525,75,3.9,3226,2513.1202798993045
758,Lipscomb,Texas,3.7,76.9,97,3,2.6,7332,1113.5168574079803
759,Live Oak,Texas,10.9,63.3,316,15,3.1,8814,3063.815843368559
760,Llano,Texas,20.0,62.0,1035,20,3.4,4019,633.1727460426703
761,Loving,Texas,0.1,83.1,0,0,0.7,8637,0.0
762,Lubbock,Texas,318.4,38.0,4766,336,2.8,377,4050.629650737839
763,Lynn,Texas,6.5,56.9,111,8,3.0,3436,1848.4288354898333
764,Madison,Texas,29.1,57.6,274,40,4.3,5445,2104.208416833668
765,Marion,Texas,24.6,42.9,267,70,4.3,8011,3267.4390058568406
766,Martin,Texas,5.6,67.5,76,3,2.6,6484,3230.1480484522212
767,Mason,Texas,4.4,63.3,142,4,3.2,9560,5096.611593391207
768,Matagorda,Texas,22.7,39.9,711,133,5.7,8830,1542.520803734524
769,Maverick,Texas,43.2,-55.8,753,21,7.5,5594,1351.5855137757756
770,Mcculloch,Texas,7.7,66.7,240,18,5.2,2719,1848.3855872718768
771,Mclennan,Texas,226.1,26.8,5054,600,3.3,8858,2881.8601097071746
772,Mcmullen,Texas,0.6,83.0,27,3,1.6,4633,6321.310582064643
773,Medina,Texas,35.2,43.2,985,28,3.1,9304,2376.705955334988
774,Menard,Texas,2.4,61.1,107,3,3.5,5881,1356.4078578110384
775,Midland,Texas,162.3,54.8,2718,174,2.1,189,2229.8000361925447
776,Milam,Texas,23.9,49.8,691,75,5.0,6720,2058.5747089392903
777,Mills,Texas,6.5,76.1,203,3,3.3,7068,1251.795608454751
778,Mitchell,Texas,10.1,64.9,141,14,3.5,8529,1146.8695143358686
779,Montague,Texas,20.9,77.2,517,8,2.8,542,958.7243919668988
780,Montgomery,Texas,452.3,51.1,7592,492,3.4,7598,1816.2929644989802
781,Moore,Texas,24.4,54.5,288,21,2.3,3785,5659.0257879656165
782,Morris,Texas,49.5,40.6,320,86,5.3,1418,1541.814659347756
783,Motley,Texas,1.2,85.5,47,2,3.5,1009,833.3333333333335
784,Nacogdoches,Texas,66.6,35.0,1151,169,3.7,5357,2519.784062327465
785,Navarro,Texas,44.3,48.6,999,162,3.2,6259,2628.0605830822337
786,Newton,Texas,15.2,56.6,314,69,6.3,3367,1338.7274733357856
787,Nolan,Texas,16.5,51.9,350,21,2.9,2522,1855.3758325404376
788,Nueces,Texas,298.7,1.5,6475,402,4.1,3034,4418.234914185718
789,Ochiltree,Texas,11.5,78.4,117,7,2.7,9845,1464.0097600650672
790,Oldham,Texas,1.4,81.4,28,1,2.8,6590,899.6212121212121
791,Orange,Texas,218.0,61.8,1531,163,5.2,6556,2404.1920475802194
792,Palo Pinto,Texas,28.4,64.0,612,35,3.1,6067,2035.013189900305
793,Panola,Texas,29.1,63.5,448,73,4.0,1192,1707.3381046822449
794,Parker,Texas,131.6,67.1,2171,63,2.9,3718,1427.7915424348043
795,Parmer,Texas,11.4,58.0,172,8,2.2,539,4612.1811556481
796,Pecos,Texas,3.3,21.8,226,17,3.3,7008,2477.406307274221
797,Polk,Texas,41.2,55.4,535,60,4.7,6017,1699.9980526940976
798,Potter,Texas,132.4,41.8,1997,190,2.7,1912,5218.242984286505
799,Presidio,Texas,1.9,-36.5,284,7,6.5,7738,1446.8973747016705
800,Rains,Texas,42.5,71.0,253,14,3.0,7572,575.3556017260668
801,Randall,Texas,135.4,64.6,2272,73,2.4,9600,2318.5901113184673
802,Reagan,Texas,3.0,60.0,44,4,2.5,5273,2312.288906209405
803,Real,Texas,4.8,66.6,90,2,4.0,9506,3418.308227114717
804,Red River,Texas,12.0,53.8,393,60,4.6,2233,1389.004408217583
805,Reeves,Texas,5.3,-7.6,247,21,1.7,5341,1326.9904857285926
806,Refugio,Texas,8.9,27.0,186,16,3.7,4821,4461.715601611974
807,Roberts,Texas,1.0,91.0,14,1,3.1,7470,1405.1522248243564
808,Robertson,Texas,19.1,35.0,421,77,3.6,4917,1909.3358322595761
809,Rockwall,Texas,559.7,47.0,1385,82,3.1,2858,1601.2962874708096
810,Runnels,Texas,9.9,74.0,284,15,2.8,2205,2718.2385035074053
811,Rusk,Texas,57.7,56.5,1103,186,3.6,9788,1773.7014299893397
812,Sabine,Texas,18.3,72.8,368,31,6.6,641,777.8410168848416
813,San Augustine,Texas,14.8,48.0,331,77,4.8,8826,2513.050868034479
814,San Jacinto,Texas,42.7,58.2,632,87,4.6,7028,786.5830416854359
815,San Patricio,Texas,92.5,23.8,1028,39,5.4,3559,2249.363105050202
816,San Saba,Texas,5.2,73.5,212,5,2.9,3827,1139.5540875309662
817,Schleicher,Texas,2.5,57.9,40,1,2.9,7317,1897.6011457214465
818,Scurry,Texas,18.9,69.5,370,23,3.2,3059,4544.093875351733
819,Shackelford,Texas,3.7,84.8,82,5,2.2,7126,857.5803981623277
820,Shelby,Texas,30.8,59.7,503,89,3.9,1961,1918.9681095196647
821,Sherman,Texas,3.3,76.0,65,1,2.3,7052,2183.9841164791533
822,Smith,Texas,226.1,43.2,4836,724,3.3,6848,1665.2989675661972
823,Somervell,Texas,44.7,68.4,222,8,3.6,3929,1621.384750219106
824,Starr,Texas,50.5,-60.2,816,14,9.8,490,5339.377717265174
825,Stephens,Texas,10.3,77.6,256,7,3.1,3115,1473.414477898783
826,Sterling,Texas,1.5,75.7,35,6,3.1,9064,387.2966692486445
827,Stonewall,Texas,1.5,59.9,69,1,2.9,6915,1185.1851851851852
828,Sutton,Texas,2.7,53.8,94,1,3.7,4774,2224.5762711864404
829,Swisher,Texas,8.6,54.9,194,11,3.7,3084,1446.5323779910775
830,Tarrant,Texas,2085.2,8.6,26065,3529,3.3,6059,2273.1347933308443
831,Taylor,Texas,145.3,50.6,2783,163,2.9,8040,1113.4937768955476
832,Terrell,Texas,0.3,33.8,42,3,3.4,1413,386.59793814432993
833,Terry,Texas,14.2,50.9,227,8,3.7,1268,2318.2297154899898
834,Throckmorton,Texas,1.7,78.1,67,2,3.8,2701,532.9780146568954
835,Titus,Texas,76.4,41.6,540,58,4.2,5604,4519.083969465649
836,Tom Green,Texas,73.7,47.6,2373,153,3.0,1393,1946.308724832215
837,Travis,Texas,1068.2,-38.6,13228,1615,2.6,6255,2335.249153423122
838,Trinity,Texas,20.2,59.9,368,56,4.8,486,1351.4435874684325
839,Tyler,Texas,23.0,67.1,567,43,5.8,4041,1061.2772240679217
840,Upshur,Texas,67.2,67.6,827,103,3.7,8554,962.8050678993126
841,Upton,Texas,2.7,53.5,79,10,2.9,3867,683.6204539239815
842,Uvalde,Texas,17.2,10.8,656,29,3.8,9725,2999.13989753562
843,Val Verde,Texas,15.2,-7.9,947,29,3.4,4276,4552.779194288628
844,Van Zandt,Texas,61.2,71.6,1225,53,3.3,1152,1051.4225128114508
845,Victoria,Texas,100.1,39.9,1969,152,3.4,1646,4452.456452803962
846,Walker,Texas,85.9,34.3,1060,144,3.9,3681,5151.361499773883
847,Waller,Texas,86.6,28.5,656,161,3.7,9807,1585.6351591065418
848,Ward,Texas,13.2,51.2,240,14,2.3,3621,1141.8569761626939
849,Washington,Texas,54.7,51.0,1264,130,3.3,4332,1800.3455771696115
850,Webb,Texas,76.9,-51.6,3110,58,3.7,4919,5093.041076876365
851,Wharton,Texas,37.7,40.1,930,106,3.4,8040,3335.258446433729
852,Wheeler,Texas,6.1,82.1,106,5,3.0,8018,988.9240506329114
853,Wichita,Texas,208.2,49.5,2819,231,3.2,7477,1459.5780080163352
854,Wilbarger,Texas,13.6,57.4,322,31,3.6,4735,1660.2709687524473
855,Willacy,Texas,28.1,-36.8,402,6,8.2,3171,5646.5961232325135
856,Williamson,Texas,403.0,9.7,6972,495,2.8,7817,1474.2164520930453
857,Wilson,Texas,55.2,47.4,922,43,2.8,1207,1787.7423144703346
858,Winkler,Texas,8.8,52.4,96,8,2.8,6781,1498.1273408239701
859,Wise,Texas,65.5,69.7,928,42,3.2,6387,1120.2560585276635
860,Wood,Texas,61.0,69.8,1274,77,3.9,8384,1185.7967895649879
861,Yoakum,Texas,10.1,59.5,116,7,2.9,1560,2961.092620222656
862,Young,Texas,19.7,74.3,508,15,3.0,9301,1921.1549139367014
863,Zapata,Texas,13.5,-32.9,208,5,5.1,3160,2362.648987939911
864,Zavala,Texas,9.2,-57.2,200,3,8.5,76,3184.1216216216217
865,Accomack,Virginia,25.3,-11.6,909,188,3.5,2879,3666.9142220571853
866,Albemarle,Virginia,140.3,24.8,2872,189,2.5,392,1251.2576602945212
867,Alexandria City,Virginia,9466.6,59.0,2354,589,2.1,9425,2453.772235742781
868,Alleghany,Virginia,36.0,-37.0,440,29,3.4,6538,538.3580080753701
869,Amelia,Virginia,35.6,-36.6,305,91,3.2,7280,950.9319132750093
870,Amherst,Virginia,67.3,-30.3,802,140,3.2,580,1351.0520487264673
871,Appomattox,Virginia,45.2,-46.1,350,67,3.5,1131,1407.8310602727677
872,Arlington,Virginia,8445.9,59.2,3216,663,1.9,20950,1707.889647950955
873,Augusta,Virginia,75.9,-49.5,1908,71,2.4,556,694.8304613674263
874,Bath,Virginia,8.7,-41.9,136,9,2.5,564,361.7072582589824
875,Bedford,Virginia,98.3,-49.1,1705,168,2.9,1186,1067.129131486006
876,Bland,Virginia,18.8,-67.5,147,12,2.8,7681,1019.1082802547772
877,Botetourt,Virginia,60.6,-47.4,762,34,2.5,1874,942.5775756306293
878,Bristol,Virginia,1337.7,-43.5,463,25,3.8,6903,1157.379787614843
879,Brunswick,Virginia,29.8,18.7,388,193,4.7,1803,2273.427392027601
880,Buchanan,Virginia,47.0,-60.3,423,9,5.6,2144,833.1746334031614
881,Buckingham,Virginia,29.3,-11.3,371,130,4.2,5889,4058.782365290413
882,Buena Vista City,Virginia,984.2,-30.6,146,12,2.7,3390,1389.3176906452607
883,Campbell,Virginia,108.1,-46.8,1334,179,3.1,1525,883.6658467705204
884,Caroline,Virginia,54.1,-4.8,540,203,3.2,7335,1204.2310821806345
885,Carroll,Virginia,62.6,-59.3,867,18,3.6,1517,1715.2831392031146
886,Charles City,Virginia,35.0,24.8,192,119,3.4,6872,1206.376561826799
887,Charlotte,Virginia,26.0,-22.8,332,102,3.5,1382,1178.4511784511785
888,Charlottesville City,Virginia,4338.2,66.5,600,133,2.4,6997,2885.7952862522748
889,Chesapeake City,Virginia,650.3,-1.3,3443,1145,2.9,8846,1802.0299385300304
890,Chesterfield,Virginia,742.3,-2.2,4960,707,2.7,734,1748.8562990005726
891,Clarke,Virginia,80.0,-19.6,344,44,2.5,4021,663.5200766126275
892,Colonial Heights City,Virginia,2245.5,-39.2,511,31,3.2,6800,1537.1329879101902
893,Covington City,Virginia,1032.3,-18.3,104,20,4.2,504,595.8829902491874
894,Craig,Virginia,15.7,-57.2,148,0,3.2,858,604.1707269538101
895,Culpeper,Virginia,125.2,-25.2,781,137,2.6,2111,2324.874061401008
896,Cumberland,Virginia,33.1,-13.5,241,104,3.0,6300,1077.3258155457108
897,Danville City,Virginia,971.7,19.8,1265,332,5.0,6015,2377.3848766357005
898,Dickenson,Virginia,46.8,-55.8,327,8,4.9,5047,712.3899986031569
899,Dinwiddie,Virginia,55.2,-12.4,509,202,3.3,7257,1460.9024663677128
900,Emporia,Virginia,806.0,31.3,211,89,5.0,6908,4882.154882154882
901,Essex,Virginia,39.0,-2.1,277,80,3.5,785,1670.7751301013418
902,Fairfax,Virginia,2749.7,35.8,18500,3840,2.3,22035,1854.5888044952123
903,Fairfax City,Virginia,3745.6,30.5,484,54,2.1,5532,578.7085224197509
904,Falls Church City,Virginia,6541.0,58.0,226,36,2.0,37551,492.5771362112609
905,Fauquier,Virginia,102.5,-24.4,1201,163,2.4,3462,1353.5143635393558
906,Floyd,Virginia,40.5,-37.2,379,18,2.6,8315,1352.4668232903678
907,Fluvanna,Virginia,89.4,-9.3,546,70,2.3,3463,1408.140814081408
908,Franklin,Virginia,79.2,-41.9,1300,118,2.9,3522,753.0066735662538
909,Franklin City,Virginia,1022.2,27.0,195,72,4.0,7327,5447.470817120622
910,Frederick,Virginia,193.4,-35.0,1777,39,2.4,7684,1056.9569939426513
911,Fredericksburg City,Virginia,2533.8,26.3,397,63,3.4,8448,1901.0883041741288
912,Galax City,Virginia,843.2,-38.8,229,11,3.3,6571,6633.054986607845
913,Giles,Virginia,47.2,-48.2,438,13,3.3,591,562.2009569377991
914,Gloucester,Virginia,128.3,-39.2,760,107,2.6,938,698.8326014779907
915,Goochland,Virginia,74.6,-24.9,542,117,2.8,9331,1187.2184566160065
916,Grayson,Virginia,34.2,-57.4,479,14,2.9,7550,2090.032154340836
917,Greene,Virginia,119.6,-31.4,318,16,2.3,7498,1170.5938745648116
918,Greensville,Virginia,40.1,18.8,139,69,3.4,3533,7092.4488355681015
919,Halifax,Virginia,43.0,-16.5,1018,357,3.9,3096,1099.9380731915896
920,Hampton City,Virginia,1004.4,37.5,2394,1139,3.8,4763,1399.8959185190693
921,Hanover,Virginia,212.5,-32.3,2226,230,2.4,1028,1260.1377057699087
922,Harrisonburg City,Virginia,2908.1,22.2,793,39,3.2,2640,5083.371057793874
923,Henrico,Virginia,1285.7,20.8,6873,1498,2.8,8581,1684.3098017641119
924,Henry,Virginia,137.8,-29.1,1591,326,3.3,6471,2183.6738730541765
925,Highland,Virginia,5.4,-42.2,72,0,2.7,5089,365.296803652968
926,Hopewell City,Virginia,2071.3,9.3,409,109,4.3,2568,1855.3863908739847
927,Isle Of Wight,Virginia,97.9,-20.5,817,216,2.8,2993,2080.3578646689484
928,James City,Virginia,389.6,-5.2,2320,233,2.7,6541,1131.6858983573566
929,King And Queen,Virginia,21.7,-27.7,352,93,2.6,6619,875.6893724847223
930,King George,Virginia,130.9,-35.1,252,70,2.7,8724,962.2113365990203
931,King William,Virginia,56.2,-17.1,200,80,2.8,1124,1110.320284697509
932,Lancaster,Virginia,48.5,-9.8,554,83,4.3,2814,1518.4381778741863
933,Lee,Virginia,58.0,-62.9,496,11,4.1,4796,1285.0616914998081
934,Lexington City,Virginia,2819.3,30.3,177,28,4.7,8726,1665.32366371206
935,Loudoun,Virginia,650.3,16.8,4560,741,2.3,40382,1689.0829863277381
936,Louisa,Virginia,66.0,-24.5,675,143,2.7,3714,819.3450559974461
937,Lunenburg,Virginia,29.3,-17.5,297,109,3.2,1421,1008.527386028206
938,Lynchburg City,Virginia,1563.6,-8.9,1905,320,3.7,3200,1883.9450881121606
939,Madison,Virginia,41.0,-31.8,353,40,2.2,450,852.1227660055803
940,Manassas City,Virginia,4068.8,16.0,145,49,2.5,9141,4738.955823293173
941,Manassas Park City,Virginia,5914.6,28.1,403,85,2.5,7032,3524.4307128962128
942,Martinsville City,Virginia,1248.7,23.4,239,73,4.1,3892,3202.166640114704
943,Mathews,Virginia,35.4,-36.8,324,35,2.9,1764,996.151233869142
944,Mecklenburg,Virginia,47.0,-13.4,856,297,4.0,4832,2599.1434269460888
945,Middlesex,Virginia,51.3,-26.0,415,90,2.6,4871,1181.2511812511814
946,Montgomery,Virginia,246.1,1.3,1543,70,2.8,2538,2158.623839244938
947,Nelson,Virginia,31.4,-5.6,362,69,2.8,6690,736.7716008037511
948,New Kent,Virginia,85.9,-37.3,267,46,2.4,858,900.7838551816724
949,Newport News City,Virginia,1518.0,26.6,2906,828,3.5,283,1571.7673315664667
950,Norfolk City,Virginia,2540.1,42.5,3485,1546,3.5,8519,2033.4346754990893
951,Northampton,Virginia,15.4,9.2,402,157,4.4,3157,2630.2305721605467
952,Northumberland,Virginia,43.1,-19.6,513,100,4.3,5418,1488.2182720132287
953,Norton City,Virginia,534.2,-43.7,87,3,3.7,4442,979.6533534287868
954,Nottoway,Virginia,49.9,-13.1,341,153,2.8,6368,1785.7142857142856
955,Orange,Virginia,99.7,-26.4,816,116,3.0,3681,925.7509918760628
956,Page,Virginia,76.1,-49.5,568,19,3.8,9073,1715.337628650322
957,Patrick,Virginia,37.8,-55.0,488,29,3.5,2862,1607.2239890958656
958,Petersburg City,Virginia,1399.6,76.7,684,488,5.6,7049,2469.2145728322594
959,Pittsylvania,Virginia,64.4,-39.1,1454,315,3.4,4710,1774.5302713987476
960,Poquoson City,Virginia,154.3,-48.6,239,10,2.4,6057,619.3464265341048
961,Portsmouth City,Virginia,2054.4,36.3,1714,881,3.9,7343,2774.4231869319265
962,Powhatan,Virginia,107.5,-46.3,450,80,2.5,8475,795.8990961823822
963,Prince Edward,Virginia,65.4,5.4,585,186,3.8,8450,2688.3606701166564
964,Prince George,Virginia,130.5,-16.9,591,166,3.4,8133,2252.7572810471147
965,Prince William,Virginia,1230.4,21.1,4243,950,2.5,6200,2709.5580809423072
966,Pulaski,Virginia,105.1,-40.6,859,64,3.4,834,714.1387721515268
967,Radford,Virginia,1664.9,4.7,205,15,3.6,9254,4120.7737410269065
968,Rappahannock,Virginia,27.9,-17.7,212,17,2.5,1035,868.3853459972862
969,Richmond,Virginia,41.9,-23.7,292,47,3.0,9399,3978.721046215229
970,Richmond City,Virginia,3379.1,63.5,4254,1924,3.3,8747,2064.3475845787984
971,Roanoke,Virginia,370.9,-27.6,2676,135,2.5,8734,1015.0128469199243
972,Roanoke City,Virginia,2283.0,19.0,2225,390,3.0,2715,1908.3545989126812
973,Rockbridge,Virginia,37.2,-29.4,746,22,2.7,3413,544.8987728702432
974,Rockingham,Virginia,90.6,-44.3,2125,34,2.4,1375,1860.936203446088
975,Russell,Virginia,59.7,-58.7,619,22,4.2,8966,1087.0382908297602
976,Salem,Virginia,1727.8,-24.7,622,55,2.8,7274,1154.1045808466067
977,Scott,Virginia,42.3,-66.0,620,12,3.1,161,936.6595567096356
978,Shenandoah,Virginia,83.1,-43.0,1105,45,2.5,5283,1882.3367571533386
979,Smyth,Virginia,70.5,-55.0,847,24,3.7,972,1787.1379218708478
980,Southampton,Virginia,30.5,-16.2,396,165,2.7,2741,4469.40048777721
981,Spotsylvania,Virginia,304.6,-16.7,2154,331,2.9,6695,1605.5500495540139
982,Stafford,Virginia,481.1,-9.0,1426,217,2.8,8421,1350.7149304692507
983,Staunton City,Virginia,1204.5,1.8,696,51,2.7,7319,1127.0656184822715
984,Suffolk City,Virginia,199.2,12.2,1509,495,3.0,9753,2295.1318017978892
985,Surry,Virginia,22.2,10.7,145,77,3.4,4663,1977.577078791653
986,Sussex,Virginia,24.2,16.3,233,134,4.5,3031,5269.2893628461325
987,Tazewell,Virginia,85.3,-66.1,1136,54,4.4,2074,840.0049267151128
988,Virginia Beach City,Virginia,896.0,-3.5,7886,1295,2.7,6520,1568.7573059776792
989,Warren,Virginia,176.0,-36.8,623,47,2.8,5635,1117.916542177074
990,Washington,Virginia,96.9,-53.3,1286,17,3.3,5510,1179.7543729065876
991,Waynesboro City,Virginia,1393.2,-11.3,528,45,2.9,7117,1277.0658418029166
992,Westmoreland,Virginia,69.3,-7.1,462,125,3.5,1414,1537.6075492645016
993,Williamsburg City,Virginia,1568.2,43.0,331,63,3.9,2845,1277.25023405109
994,Winchester City,Virginia,2921.1,3.5,541,52,2.8,1456,1844.8607450673126
995,Wise,Virginia,100.9,-61.9,708,19,4.6,8045,1193.0556670144185
996,Wythe,Virginia,63.0,-54.5,688,25,3.6,6345,913.4011992748572
997,York,Virginia,306.1,-17.1,1283,228,2.7,6317,823.0814294083187
