,County1,Dem-Rep %,State1,COVID Cases per 100K
65,Mercer,-20.6,Illinois,978.1693334197058
66,Monroe,-37.1,Illinois,2116.234084938072
67,Montgomery,-39.8,Illinois,1425.3536988808335
68,Morgan,-29.9,Illinois,2055.9748053954486
69,Moultrie,-47.8,Illinois,1634.3700434452796
70,Ogle,-26.4,Illinois,1581.6598542740358
71,Peoria,3.1,Illinois,2071.6713454143623
72,Perry,-44.9,Illinois,1730.73245362402
73,Piatt,-33.5,Illinois,960.5971610376897
74,Pike,-58.2,Illinois,963.9483323693851
75,Pope,-61.1,Illinois,718.218817333014
76,Pulaski,-26.3,Illinois,3636.363636363636
77,Putnam,-20.1,Illinois,1150.0261369576585
78,Randolph,-46.7,Illinois,3067.7742118180104
79,Richland,-54.4,Illinois,1676.0136659575842
80,Rock Island,8.4,Illinois,2244.8706291981193
81,Saline,-50.1,Illinois,2658.980461018307
82,Sangamon,-9.2,Illinois,1664.4672427738285
83,Schuyler,-37.8,Illinois,1352.5314374948632
84,Scott,-54.9,Illinois,856.9739952718677
85,Shelby,-53.8,Illinois,1636.0331246212884
86,St. Clair,5.7,Illinois,2029.2132753998333
87,Stark,-37.8,Illinois,1048.2965181579932
88,Stephenson,-16.6,Illinois,1305.6766596251518
89,Tazewell,-28.3,Illinois,1446.8562931041024
90,Union,-39.7,Illinois,3290.698372665585
91,Vermilion,-29.6,Illinois,1290.9527706644842
92,Wabash,-53.5,Illinois,1432.291666666667
93,Warren,-16.7,Illinois,2101.638565661363
94,Washington,-55.8,Illinois,1663.4262259667316
95,Wayne,-71.6,Illinois,1954.9799568300962
96,White,-58.0,Illinois,1396.1734505429565
97,Whiteside,-6.2,Illinois,1574.988672405981
98,Will,6.4,Illinois,2112.073520831916
99,Williamson,-41.2,Illinois,2198.2972205955225
100,Winnebago,0.1,Illinois,2399.034582336537
101,Woodford,-41.7,Illinois,1190.8785979874672
0,Allen,-40.67,Kansas,557.8462284744119
1,Anderson,-52.629999999999995,Kansas,1056.2484092644438
2,Atchison,-31.33,Kansas,2277.1106825110433
3,Barber,-69.45,Kansas,248.47526541676083
4,Barton,-58.91,Kansas,2079.2117615113075
5,Bourbon,-50.68,Kansas,1334.8011559102795
6,Brown,-50.620000000000005,Kansas,1516.1020493517356
7,Butler,-45.19,Kansas,1512.4568456606535
8,Chase,-47.7,Kansas,3134.441087613293
9,Chautauqua,-70.16,Kansas,646.1538461538461
10,Cherokee,-48.459999999999994,Kansas,2683.1837103164653
11,Cheyenne,-70.51,Kansas,2709.823108769289
12,Clark,-70.15,Kansas,2758.2748244734203
13,Clay,-57.96000000000001,Kansas,662.334416395901
14,Cloud,-54.91,Kansas,842.249032551787
15,Coffey,-57.11,Kansas,1577.2099278640421
