,Population Density (per sq mi),County,State
758,39.4,Edmonson,Kentucky
771,33.1,Elliott,Kentucky
733,56.9,Estill,Kentucky
672,1066.3,Fayette,Kentucky
753,41.3,Fleming,Kentucky
698,98.8,Floyd,Kentucky
681,233.5,Franklin,Kentucky
780,28.4,Fulton,Kentucky
713,81.7,Gallatin,Kentucky
720,72.2,Garrard,Kentucky
699,94.6,Grant,Kentucky
725,67.3,Graves,Kentucky
740,50.7,Grayson,Kentucky
759,38.7,Green,Kentucky
695,103.4,Greenup,Kentucky
747,43.5,Hancock,Kentucky
686,170.7,Hardin,Kentucky
729,61.4,Harlan,Kentucky
730,60.2,Harrison,Kentucky
746,44.1,Hart,Kentucky
697,99.5,Henderson,Kentucky
738,53.0,Henry,Kentucky
790,18.9,Hickman,Kentucky
708,84.2,Hopkins,Kentucky
760,38.6,Jackson,Kentucky
671,1889.7,Jefferson,Kentucky
678,284.2,Jessamine,Kentucky
706,88.6,Johnson,Kentucky
673,985.2,Kenton,Kentucky
744,45.7,Knott,Kentucky
711,82.2,Knox,Kentucky
736,53.7,Larue,Kentucky
690,134.2,Laurel,Kentucky
761,37.7,Lawrence,Kentucky
764,36.4,Lee,Kentucky
784,27.5,Leslie,Kentucky
721,70.7,Letcher,Kentucky
781,28.0,Lewis,Kentucky
719,72.9,Lincoln,Kentucky
783,27.6,Livingston,Kentucky
742,48.2,Logan,Kentucky
772,32.8,Lyon,Kentucky
684,192.9,Madison,Kentucky
749,42.3,Magoffin,Kentucky
731,57.6,Marion,Kentucky
702,91.8,Marshall,Kentucky
735,55.3,Martin,Kentucky
722,70.6,Mason,Kentucky
680,244.4,Mccracken,Kentucky
750,41.9,Mccreary,Kentucky
762,37.1,Mclean,Kentucky
705,90.0,Meade,Kentucky
775,30.8,Menifee,Kentucky
709,84.1,Mercer,Kentucky
768,34.4,Metcalfe,Kentucky
774,32.6,Monroe,Kentucky
689,135.7,Montgomery,Kentucky
767,35.2,Morgan,Kentucky
727,65.5,Muhlenberg,Kentucky
694,104.4,Nelson,Kentucky
766,35.9,Nicholas,Kentucky
755,40.2,Ohio,Kentucky
676,314.2,Oldham,Kentucky
776,30.3,Owen,Kentucky
787,23.6,Owsley,Kentucky
739,51.9,Pendleton,Kentucky
710,82.5,Perry,Kentucky
714,81.6,Pike,Kentucky
723,69.7,Powell,Kentucky
700,93.8,Pulaski,Kentucky
788,22.4,Robertson,Kentucky
737,53.3,Rockcastle,Kentucky
712,82.0,Rowan,Kentucky
728,62.4,Russell,Kentucky
685,172.3,Scott,Kentucky
692,113.0,Shelby,Kentucky
718,74.2,Simpson,Kentucky
703,90.9,Spencer,Kentucky
704,90.5,Taylor,Kentucky
770,33.1,Todd,Kentucky
778,29.7,Trigg,Kentucky
734,56.4,Trimble,Kentucky
751,41.8,Union,Kentucky
682,214.0,Warren,Kentucky
757,39.4,Washington,Kentucky
748,42.8,Wayne,Kentucky
756,40.1,Webster,Kentucky
715,79.9,Whitley,Kentucky
773,32.7,Wolfe,Kentucky
691,131.0,Woodford,Kentucky
84,194.7,Adams,Pennsylvania
61,1651.0,Allegheny,Pennsylvania
97,103.0,Armstrong,Pennsylvania
72,383.1,Beaver,Pennsylvania
114,48.5,Bedford,Pennsylvania
69,477.1,Berks,Pennsylvania
79,240.4,Blair,Pennsylvania
111,53.8,Bradford,Pennsylvania
63,1007.0,Bucks,Pennsylvania
80,232.8,Butler,Pennsylvania
81,203.0,Cambria,Pennsylvania
124,12.4,Cameron,Pennsylvania
89,167.5,Carbon,Pennsylvania
91,140.4,Centre,Pennsylvania
65,667.0,Chester,Pennsylvania
109,64.7,Clarion,Pennsylvania
104,70.6,Clearfield,Pennsylvania
116,44.2,Clinton,Pennsylvania
93,136.9,Columbia,Pennsylvania
100,84.6,Crawford,Pennsylvania
71,435.1,Cumberland,Pennsylvania
67,483.6,Dauphin,Pennsylvania
59,2942.1,Delaware,Pennsylvania
118,37.9,Elk,Pennsylvania
86,179.8,Erie,Pennsylvania
87,169.6,Fayette,Pennsylvania
121,17.8,Forest,Pennsylvania
83,196.1,Franklin,Pennsylvania
120,33.7,Fulton,Pennsylvania
108,66.0,Greene,Pennsylvania
112,51.7,Huntingdon,Pennsylvania
96,105.8,Indiana,Pennsylvania
107,68.4,Jefferson,Pennsylvania
110,63.0,Juniata,Pennsylvania
70,460.4,Lackawanna,Pennsylvania
66,535.5,Lancaster,Pennsylvania
77,247.7,Lawrence,Pennsylvania
73,372.9,Lebanon,Pennsylvania
62,1018.1,Lehigh,Pennsylvania
74,353.5,Luzerne,Pennsylvania
99,93.8,Lycoming,Pennsylvania
117,43.7,Mckean,Pennsylvania
88,169.6,Mercer,Pennsylvania
95,112.6,Mifflin,Pennsylvania
76,272.7,Monroe,Pennsylvania
60,1661.3,Montgomery,Pennsylvania
92,139.6,Montour,Pennsylvania
64,792.9,Northampton,Pennsylvania
82,197.5,Northumberland,Pennsylvania
101,82.4,Perry,Pennsylvania
58,10839.8,Philadelphia,Pennsylvania
98,100.3,Pike,Pennsylvania
122,16.1,Potter,Pennsylvania
